Time,Yaw,YawPWM
56.052,180.305,0.0
56.065,179.568,0.0
56.076,179.568,0.0
56.087,179.486,0.0
56.104,179.267,0.0
56.115,179.252,0.0
56.123,179.49,0.0
56.134,178.835,0.0
56.149,178.71,0.0
56.158,178.562,0.0
56.173,178.172,0.0
56.183,178.126,0.0
56.194,178.98,0.0
56.2,177.923,0.0
56.215,177.292,0.0
56.223,177.258,0.0
56.233,177.148,0.0
56.249,177.23,0.0
56.257,177.127,0.0
56.271,177.256,0.0
56.277,177.186,0.0
56.294,177.251,0.0
56.304,177.3,0.0
56.316,176.907,0.0
56.33,176.83,0.0
56.345,176.969,0.0
56.353,177.56,0.0
56.368,177.1,0.0
56.379,177.316,0.0
56.384,177.334,0.0
56.394,177.388,0.0
56.405,177.492,0.0
56.418,177.439,0.0
56.424,177.464,0.0
56.429,177.452,0.0
56.434,177.384,0.0
56.446,177.487,0.0
56.45,177.528,0.0
56.456,177.435,0.0
56.467,177.707,0.0
56.48,177.292,0.0
56.498,177.83,0.0
56.509,177.64,0.0
56.522,177.297,0.0
56.533,177.297,0.0
56.546,177.702,0.0
56.557,177.797,0.0
56.575,178.1,0.0
56.584,177.986,0.0
56.595,178.215,0.0
56.601,178.147,0.0
56.61,178.133,0.0
56.62,178.39,0.0
56.632,178.218,0.0
56.641,178.332,0.0
56.653,178.306,0.0
56.668,178.367,0.0
56.678,178.143,0.0
56.691,178.202,0.0
56.702,177.924,0.0
56.712,177.856,0.0
56.729,177.539,0.0
56.745,177.96,0.0
56.757,176.953,0.0
56.762,176.933,0.0
56.77,176.82,0.0
56.778,176.72,0.0
56.79,176.94,0.0
56.794,177.6,0.0
56.8,177.215,0.0
56.81,177.371,0.0
56.826,178.175,0.0
56.837,178.158,0.0
56.852,178.5,0.0
56.866,178.268,0.0
56.878,177.956,0.0
56.891,177.956,0.0
56.903,178.271,0.0
56.913,178.212,0.0
56.925,178.142,200.0
56.928,178.114,200.0
56.942,178.114,200.0
56.956,179.83,200.0
56.968,180.57,200.0
56.975,181.608,200.0
56.98,182.706,200.0
56.984,183.807,200.0
56.996,187.388,200.0
57.006,190.42,200.0
57.017,194.297,200.0
57.027,198.409,200.0
57.042,205.538,200.0
57.057,212.667,200.0
57.068,217.894,200.0
57.079,223.122,198.0
57.087,226.924,196.0
57.099,232.627,193.0
57.111,238.33,190.0
57.118,241.657,189.0
57.123,244.33,188.0
57.127,245.934,187.0
57.139,251.637,184.0
57.152,257.815,181.0
57.163,263.43,178.0
57.179,270.647,174.0
57.195,278.251,171.0
57.209,284.904,167.0
57.218,289.181,165.0
57.225,292.508,163.0
57.235,297.261,161.0
57.24,299.637,160.0
57.251,304.864,157.0
57.257,307.716,156.0
57.267,312.468,153.0
57.282,319.597,150.0
