Time,Distance
53.616,2059.0
53.717,2057.0
53.818,2034.0
53.92,1986.0
54.031,1917.0
54.124,1827.0
54.229,1714.0
54.334,1604.0
54.429,1476.0
54.532,1343.0
54.638,1192.0
54.738,1053.0
54.837,903.0
55.752,2140.0
55.848,2149.0
55.956,2120.0
56.061,2063.0
56.153,1998.0
56.253,1899.0
56.36,1780.0
56.464,1642.0
56.571,1495.0
56.665,1330.0
56.766,1167.0
56.863,999.0
