2024-04-29 11:05:46,223 | MainThread   | [WARNING ] | <module>            |: warning
2024-04-29 11:05:46,227 | MainThread   | [ERROR   ] | <module>            |: error
2024-04-29 11:05:46,227 | MainThread   | [CRITICAL] | <module>            |: critical
2024-04-29 11:05:46,950 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=12, micro=3, releaselevel='final', serial=0)
2024-04-29 11:05:46,950 | MainThread   | [DEBUG   ] | __init__            |: System Info: Windows-10-10.0.19045-SP0
2024-04-29 11:05:46,950 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:89:c1:6d:24:4b
2024-04-29 11:05:51,494 | MainThread   | [INFO    ] | _connect            |: Connected to c0:89:c1:6d:24:4b
2024-04-29 13:47:51,934 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:89:C1:6D:24:4B
2024-04-29 15:02:54,176 | MainThread   | [DEBUG   ] | <module>            |: debug
2024-04-29 15:02:54,177 | MainThread   | [INFO    ] | <module>            |: info
2024-04-29 15:02:54,178 | MainThread   | [WARNING ] | <module>            |: warning
2024-04-29 15:02:54,178 | MainThread   | [ERROR   ] | <module>            |: error
2024-04-29 15:02:54,179 | MainThread   | [CRITICAL] | <module>            |: critical
2024-04-29 15:02:55,260 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:89:c1:6d:24:4b
2024-04-29 15:02:59,754 | MainThread   | [INFO    ] | _connect            |: Connected to c0:89:c1:6d:24:4b
2024-04-29 15:38:04,659 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:89:C1:6D:24:4B
2024-04-29 20:06:23,821 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2024-04-29 20:06:23,831 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2024-04-29 20:06:23,831 | MainThread   | [WARNING ] | exit_handler        |: Not connected to a BLE device
2024-04-29 20:06:28,550 | MainThread   | [DEBUG   ] | <module>            |: debug
