2024-03-07 16:43:48,116 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2024-03-07 16:43:48,119 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2024-03-07 16:43:48,120 | MainThread   | [WARNING ] | exit_handler        |: Not connected to a BLE device
2024-03-07 16:43:53,003 | MainThread   | [DEBUG   ] | <module>            |: debug
2024-03-07 16:43:53,004 | MainThread   | [INFO    ] | <module>            |: info
2024-03-07 16:43:53,007 | MainThread   | [WARNING ] | <module>            |: warning
2024-03-07 16:43:53,007 | MainThread   | [ERROR   ] | <module>            |: error
2024-03-07 16:43:53,008 | MainThread   | [CRITICAL] | <module>            |: critical
2024-03-07 16:43:53,671 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=12, micro=2, releaselevel='final', serial=0)
2024-03-07 16:43:53,671 | MainThread   | [DEBUG   ] | __init__            |: System Info: Windows-10-10.0.19045-SP0
2024-03-07 16:43:53,672 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:89:c1:6d:24:4b
2024-03-07 16:43:58,324 | MainThread   | [INFO    ] | _connect            |: Connected to c0:89:c1:6d:24:4b
2024-03-07 16:45:34,682 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:89:C1:6D:24:4B
2024-03-07 16:59:17,352 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2024-03-07 16:59:17,353 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2024-03-07 16:59:17,354 | MainThread   | [WARNING ] | exit_handler        |: Not connected to a BLE device
2024-03-07 16:59:17,569 | MainThread   | [WARNING ] | __del__             |: Could not delete BaseBLEController instance before exiting
2024-03-07 16:59:17,630 | MainThread   | [WARNING ] | __del__             |: [WinError 10038] An operation was attempted on something that is not a socket
2024-03-07 16:59:35,651 | MainThread   | [DEBUG   ] | <module>            |: debug
2024-03-07 16:59:35,651 | MainThread   | [INFO    ] | <module>            |: info
2024-03-07 16:59:35,654 | MainThread   | [WARNING ] | <module>            |: warning
2024-03-07 16:59:35,654 | MainThread   | [ERROR   ] | <module>            |: error
2024-03-07 16:59:35,655 | MainThread   | [CRITICAL] | <module>            |: critical
2024-03-07 16:59:36,223 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=12, micro=2, releaselevel='final', serial=0)
2024-03-07 16:59:36,223 | MainThread   | [DEBUG   ] | __init__            |: System Info: Windows-10-10.0.19045-SP0
2024-03-07 16:59:36,224 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:89:c1:6d:24:4b
2024-03-07 16:59:40,761 | MainThread   | [INFO    ] | _connect            |: Connected to c0:89:c1:6d:24:4b
2024-03-07 17:00:35,483 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:89:C1:6D:24:4B
2024-03-07 17:36:22,130 | MainThread   | [DEBUG   ] | <module>            |: debug
2024-03-07 17:36:22,130 | MainThread   | [INFO    ] | <module>            |: info
2024-03-07 17:36:22,133 | MainThread   | [WARNING ] | <module>            |: warning
2024-03-07 17:36:22,134 | MainThread   | [ERROR   ] | <module>            |: error
2024-03-07 17:36:22,134 | MainThread   | [CRITICAL] | <module>            |: critical
2024-03-07 17:36:22,591 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=12, micro=2, releaselevel='final', serial=0)
2024-03-07 17:36:22,592 | MainThread   | [DEBUG   ] | __init__            |: System Info: Windows-10-10.0.19045-SP0
2024-03-07 17:36:22,592 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:89:c1:6d:24:4b
2024-03-07 17:36:47,496 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:89:c1:6d:24:4b
2024-03-07 17:36:53,513 | MainThread   | [INFO    ] | _connect            |: Connected to c0:89:c1:6d:24:4b
2024-03-07 17:38:18,424 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:89:C1:6D:24:4B
