66171, -85.64, 59.36 
66275, -85.65, 57.41 
66379, -84.84, 52.57 
66483, -85.19, 56.21 
66587, -85.41, 57.49 
66691, -84.98, 51.71 
66795, -84.94, 53.84 
66899, -85.34, 54.83 
67003, -84.92, 55.37 
67107, -85.29, 56.62 
67211, -85.36, 55.77 
67315, -85.89, 59.80 
67419, -84.73, 51.28 
67523, -85.76, 58.35 
67627, -85.58, 56.03 
67731, -85.76, 59.17 
67835, -84.31, 51.17 
67939, -85.58, 61.68 
68043, -84.86, 63.87 
68147, -79.70, 45.43 
68251, -74.32, 47.65 
68355, -72.95, 41.87 
68459, -66.78, 37.07 
68563, -58.26, 39.27 
68667, -58.64, 41.27 
68771, -43.01, 29.33 
68875, -41.37, 30.17 
68979, -33.29, 17.95 
69083, -27.69, 13.71 
69187, -30.09, 24.17 
69291, -23.93, 12.38 
69395, -24.02, 14.11 
69499, -47.84, 2.73 
69603, -23.18, 5.33 
69707, -18.70, 5.48 
69811, -8.06, -0.25 
69915, -6.58, -2.34 
70019, -2.19, 0.10 
70123, 0.13, -0.18 
70227, 9.55, 3.40 
70330, 1.88, 1.13 
70433, -0.60, -0.08 
70537, -0.54, -0.26 
70641, -1.57, -1.83 
70745, -0.73, -1.02 
70849, -0.45, 0.47 
70953, -0.86, 6.49 
71057, -0.44, 3.10 
71161, -0.13, -0.71 
71265, -0.42, -0.18 
71369, -0.29, -0.61 
71473, 2.42, -1.58 
71577, 6.44, -4.43 
71681, 3.65, -0.08 
71785, 0.71, -0.89 
71889, -2.00, 1.67 
71993, 0.44, -0.36 
72097, 2.16, -0.10 
72201, 4.51, 0.90 
72304, 5.12, 0.05 
72407, 2.19, 0.73 
72510, -0.41, 2.32 
72614, 5.85, 0.34 
72717, 1.72, 3.50 
72820, 0.81, -0.36 
72924, 4.94, 0.00 
73027, -3.04, -9.30 
73131, 0.61, -0.32 
73235, -0.87, 1.19 
73339, -0.74, -0.21 
73443, -1.03, 3.76 
73547, 6.10, -0.40 
73651, -1.48, -0.13 
73755, -3.59, -3.44 
73859, -0.08, -5.93 
73963, -2.32, 11.30 
74067, -0.16, -1.08 
74171, 7.95, 4.92 
74274, 1.38, -4.59 
74378, -3.04, 3.73 
74482, -1.03, -3.28 
74586, -1.58, 0.40 
74690, -1.00, -0.29 
74794, -1.51, 0.87 
74898, -0.71, 0.60 
75002, -1.38, 0.90 
75106, -0.89, 0.78 
75210, -0.61, 1.19 
75314, -2.06, 0.37 
75418, -1.63, 0.67 
75522, -1.88, -0.08 
75626, -1.18, -2.61 
75730, -0.49, -8.97 
75834, -0.96, -10.55 
75938, 0.14, -16.17 
76042, 1.51, -19.86 
76146, 1.89, -25.20 
76250, 1.69, -27.90 
76354, 1.80, -29.39 
76458, 3.01, -32.61 
76562, 3.27, -37.82 
76666, 5.04, -44.88 
76770, 6.03, -49.24 
76874, 7.96, -54.93 
76978, 9.66, -58.70 
77082, 8.75, -60.57 
77186, 10.74, -62.57 
77290, 9.38, -63.90 
77394, 10.91, -65.71 
77498, 12.27, -68.13 
77602, 15.12, -69.72 
77706, 14.24, -73.21 
77810, 17.76, -75.48 
77914, 22.33, -77.87 
78018, 17.99, -81.51 
78122, 28.00, -84.19 
78226, 28.21, -85.04 
78330, 20.99, -85.16 
78434, 18.72, -84.91 
78538, 12.57, -85.33 
78642, 17.54, -85.64 
78746, 14.69, -85.39 
78850, 14.38, -84.42 
78954, 23.24, -85.19 
79058, 17.98, -84.62 
79162, 17.84, -85.16 
79266, 9.00, -84.86 
79370, 16.03, -84.96 
79474, 14.65, -85.09 
79578, 16.73, -84.84 
79682, 17.64, -85.10 
79786, 17.61, -85.30 
79890, 12.20, -84.80 
79994, 17.32, -84.76 
80098, 21.67, -85.79 
80202, 15.95, -85.68 
80306, 16.98, -84.28 
80410, 17.03, -85.12 
80514, 14.80, -86.06 
80618, 24.09, -85.49 
80722, 16.67, -85.59 
80826, 9.96, -85.84 
80930, 18.99, -85.63 
81034, 20.92, -85.57 
81138, 21.04, -85.22 
81242, 24.29, -85.41 
