336500, 86.35, -4.37, -6.73, 9.49, 18.28, 86.75, 2.01 
336537, 87.23, 2.34, -6.74, 9.49, 18.29, 86.79, 2.04 
336574, 86.98, -3.71, -6.75, 9.49, 18.29, 86.80, 1.47 
336611, 86.83, -0.51, -6.76, 9.50, 18.29, 86.80, 1.28 
336648, 87.21, 14.31, -6.76, 9.50, 18.28, 86.83, 2.58 
336685, 86.64, 3.88, -6.76, 9.50, 18.29, 86.82, 2.71 
336722, 87.19, 19.65, -6.76, 9.52, 18.29, 86.86, 4.42 
336759, 87.06, 35.02, -6.76, 9.51, 18.11, 86.87, 7.48 
336796, 86.66, -37.87, -6.78, 9.52, 18.00, 86.84, 2.95 
336833, 86.55, -49.92, -6.80, 9.51, 18.01, 86.79, -2.35 
336870, 86.20, -45.00, -6.85, 9.50, 18.03, 86.68, -6.62 
336907, 84.89, -35.95, -6.92, 9.51, 18.03, 86.45, -9.55 
336944, 84.88, -31.61, -6.93, 9.50, 18.04, 86.27, -11.76 
336981, 85.53, -36.35, -6.96, 9.51, 18.05, 86.18, -14.21 
337018, 84.78, -32.53, -7.01, 9.51, 18.05, 85.99, -16.05 
337055, 84.01, -22.31, -7.05, 9.51, 18.07, 85.76, -16.67 
337092, 84.73, -28.02, -7.09, 9.51, 18.11, 85.62, -17.81 
337129, 84.35, -55.13, -7.27, 9.50, 18.14, 85.33, -21.55 
337166, 84.31, 69.29, -7.27, 9.53, 18.03, 85.23, -12.43 
337203, 81.22, 5.06, -7.42, 9.50, 18.06, 84.70, -10.71 
337240, 84.99, 30.21, -7.75, 9.49, 18.08, 84.42, -6.63 
337277, 62.82, -24.08, -8.27, 9.56, 18.09, 81.79, -8.31 
337314, 89.03, 82.17, -8.82, 9.57, 18.09, 82.03, 0.74 
337351, 77.94, 13.66, -9.37, 9.56, 18.21, 81.12, 2.02 
337388, 62.35, -1.29, -9.68, 9.54, 18.25, 78.97, 1.68 
