2024-02-14 16:15:09,569 | MainThread   | [CRITICAL] | <module>            |: critical
2024-02-14 16:15:09,596 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=12, micro=2, releaselevel='final', serial=0)
2024-02-14 16:15:09,596 | MainThread   | [DEBUG   ] | __init__            |: System Info: Windows-10-10.0.19045-SP0
2024-02-14 16:15:09,596 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:89:c1:6d:24:4b
2024-02-14 16:15:23,216 | MainThread   | [ERROR   ] | _connect            |: 
2024-02-14 16:15:24,218 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2024-02-14 16:15:24,219 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:89:c1:6d:24:4b
2024-02-14 16:15:44,985 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2024-02-14 16:15:44,987 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2024-02-14 16:15:44,987 | MainThread   | [WARNING ] | exit_handler        |: Not connected to a BLE device
2024-02-14 16:16:12,483 | MainThread   | [DEBUG   ] | <module>            |: debug
2024-02-14 16:16:12,483 | MainThread   | [INFO    ] | <module>            |: info
2024-02-14 16:16:12,486 | MainThread   | [WARNING ] | <module>            |: warning
2024-02-14 16:16:12,486 | MainThread   | [ERROR   ] | <module>            |: error
2024-02-14 16:16:12,487 | MainThread   | [CRITICAL] | <module>            |: critical
2024-02-14 16:16:12,750 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=12, micro=2, releaselevel='final', serial=0)
2024-02-14 16:16:12,750 | MainThread   | [DEBUG   ] | __init__            |: System Info: Windows-10-10.0.19045-SP0
2024-02-14 16:16:12,750 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:89:c1:6d:24:4b
2024-02-14 16:16:19,941 | MainThread   | [INFO    ] | _connect            |: Connected to c0:89:c1:6d:24:4b
2024-02-14 16:34:55,603 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:89:C1:6D:24:4B
2024-02-14 16:34:56,395 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2024-02-14 16:34:56,397 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2024-02-14 16:34:56,397 | MainThread   | [WARNING ] | exit_handler        |: Not connected to a BLE device
2024-02-14 16:34:56,484 | MainThread   | [WARNING ] | __del__             |: Could not delete BaseBLEController instance before exiting
2024-02-14 16:34:56,492 | MainThread   | [WARNING ] | __del__             |: [WinError 10038] An operation was attempted on something that is not a socket
2024-02-14 16:34:59,841 | MainThread   | [DEBUG   ] | <module>            |: debug
2024-02-14 16:34:59,842 | MainThread   | [INFO    ] | <module>            |: info
2024-02-14 16:34:59,844 | MainThread   | [WARNING ] | <module>            |: warning
2024-02-14 16:34:59,845 | MainThread   | [ERROR   ] | <module>            |: error
2024-02-14 16:34:59,846 | MainThread   | [CRITICAL] | <module>            |: critical
2024-02-14 16:34:59,873 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=12, micro=2, releaselevel='final', serial=0)
2024-02-14 16:34:59,873 | MainThread   | [DEBUG   ] | __init__            |: System Info: Windows-10-10.0.19045-SP0
2024-02-14 16:34:59,874 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:89:c1:6d:24:4b
2024-02-14 16:35:04,361 | MainThread   | [INFO    ] | _connect            |: Connected to c0:89:c1:6d:24:4b
2024-02-14 16:35:07,122 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2024-02-14 16:35:10,297 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:89:C1:6D:24:4B
2024-02-14 16:35:38,028 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2024-02-14 16:35:38,091 | MainThread   | [WARNING ] | __del__             |: Could not delete BaseBLEController instance before exiting
2024-02-14 16:35:38,097 | MainThread   | [WARNING ] | __del__             |: [WinError 10038] An operation was attempted on something that is not a socket
2024-02-14 16:35:41,452 | MainThread   | [DEBUG   ] | <module>            |: debug
2024-02-14 16:35:41,453 | MainThread   | [INFO    ] | <module>            |: info
2024-02-14 16:35:41,455 | MainThread   | [WARNING ] | <module>            |: warning
2024-02-14 16:35:41,456 | MainThread   | [ERROR   ] | <module>            |: error
2024-02-14 16:35:41,457 | MainThread   | [CRITICAL] | <module>            |: critical
2024-02-14 16:35:41,485 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=12, micro=2, releaselevel='final', serial=0)
2024-02-14 16:35:41,485 | MainThread   | [DEBUG   ] | __init__            |: System Info: Windows-10-10.0.19045-SP0
2024-02-14 16:35:41,486 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:89:c1:6d:24:4b
2024-02-14 16:35:54,495 | MainThread   | [ERROR   ] | _connect            |: 
2024-02-14 16:35:55,497 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2024-02-14 16:35:55,498 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:89:c1:6d:24:4b
2024-02-14 16:36:08,441 | MainThread   | [INFO    ] | _connect            |: Connected to c0:89:c1:6d:24:4b
2024-02-14 16:36:10,543 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2024-02-14 16:36:13,718 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:89:C1:6D:24:4B
2024-02-14 16:36:13,720 | MainThread   | [INFO    ] | exit_handler        |: Gracefully Exiting
2024-02-14 16:36:13,786 | MainThread   | [WARNING ] | __del__             |: Could not delete BaseBLEController instance before exiting
2024-02-14 16:36:13,793 | MainThread   | [WARNING ] | __del__             |: [WinError 10038] An operation was attempted on something that is not a socket
2024-02-14 16:36:22,294 | MainThread   | [DEBUG   ] | <module>            |: debug
2024-02-14 16:36:22,294 | MainThread   | [INFO    ] | <module>            |: info
2024-02-14 16:36:22,297 | MainThread   | [WARNING ] | <module>            |: warning
2024-02-14 16:36:22,298 | MainThread   | [ERROR   ] | <module>            |: error
2024-02-14 16:36:22,298 | MainThread   | [CRITICAL] | <module>            |: critical
2024-02-14 16:36:22,491 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=12, micro=2, releaselevel='final', serial=0)
2024-02-14 16:36:22,491 | MainThread   | [DEBUG   ] | __init__            |: System Info: Windows-10-10.0.19045-SP0
2024-02-14 16:36:22,492 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:89:c1:6d:24:4b
2024-02-14 16:36:27,642 | MainThread   | [INFO    ] | _connect            |: Connected to c0:89:c1:6d:24:4b
2024-02-14 16:41:16,008 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:89:C1:6D:24:4B
2024-02-14 16:41:18,262 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2024-02-14 16:41:18,263 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2024-02-14 16:41:18,264 | MainThread   | [WARNING ] | exit_handler        |: Not connected to a BLE device
2024-02-14 16:41:18,338 | MainThread   | [WARNING ] | __del__             |: Could not delete BaseBLEController instance before exiting
2024-02-14 16:41:18,346 | MainThread   | [WARNING ] | __del__             |: [WinError 10038] An operation was attempted on something that is not a socket
2024-02-14 16:41:21,693 | MainThread   | [DEBUG   ] | <module>            |: debug
2024-02-14 16:41:21,693 | MainThread   | [INFO    ] | <module>            |: info
2024-02-14 16:41:21,697 | MainThread   | [WARNING ] | <module>            |: warning
2024-02-14 16:41:21,698 | MainThread   | [ERROR   ] | <module>            |: error
2024-02-14 16:41:21,698 | MainThread   | [CRITICAL] | <module>            |: critical
2024-02-14 16:41:21,726 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=12, micro=2, releaselevel='final', serial=0)
2024-02-14 16:41:21,727 | MainThread   | [DEBUG   ] | __init__            |: System Info: Windows-10-10.0.19045-SP0
2024-02-14 16:41:21,727 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:89:c1:6d:24:4b
2024-02-14 16:41:26,447 | MainThread   | [INFO    ] | _connect            |: Connected to c0:89:c1:6d:24:4b
2024-02-14 16:41:27,454 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2024-02-14 16:41:30,584 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:89:C1:6D:24:4B
2024-02-14 16:41:34,345 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2024-02-14 16:41:37,763 | MainThread   | [DEBUG   ] | <module>            |: debug
2024-02-14 16:41:37,763 | MainThread   | [INFO    ] | <module>            |: info
2024-02-14 16:41:37,765 | MainThread   | [WARNING ] | <module>            |: warning
2024-02-14 16:41:37,766 | MainThread   | [ERROR   ] | <module>            |: error
2024-02-14 16:41:37,767 | MainThread   | [CRITICAL] | <module>            |: critical
2024-02-14 16:41:37,795 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=12, micro=2, releaselevel='final', serial=0)
2024-02-14 16:41:37,795 | MainThread   | [DEBUG   ] | __init__            |: System Info: Windows-10-10.0.19045-SP0
2024-02-14 16:41:37,795 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:89:c1:6d:24:4b
2024-02-14 16:41:42,347 | MainThread   | [INFO    ] | _connect            |: Connected to c0:89:c1:6d:24:4b
2024-02-14 16:41:43,611 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2024-02-14 16:41:46,784 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:89:C1:6D:24:4B
2024-02-14 16:41:57,272 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2024-02-14 16:41:57,336 | MainThread   | [WARNING ] | __del__             |: Could not delete BaseBLEController instance before exiting
2024-02-14 16:41:57,342 | MainThread   | [WARNING ] | __del__             |: [WinError 10038] An operation was attempted on something that is not a socket
